0.274963904 , 152862.347579 , random_write
0.679194089 , 149552.727511 , random_write
1.086070259 , 155680.761796 , random_write
1.495254775 , 181103.274623 , random_write
1.886082394 , 152204.869229 , random_write
2.301412292 , 161209.308279 , random_write
2.690698131 , 44178.453095 , random_write
3.247962645 , 148437.113295 , random_write
3.654059390 , 181701.841587 , random_write
4.052093877 , 81661.279526 , random_write
4.509314482 , 162164.622026 , random_write
4.908013084 , 153540.884821 , random_write
5.607596612 , 150278.522754 , random_write
6.019669852 , 140159.328300 , random_write
6.424654432 , 145734.969791 , random_write
6.831896468 , 146740.330691 , random_write
7.242584175 , 177617.523618 , random_write
7.641830416 , 189072.411653 , random_write
8.034756499 , 160284.162286 , random_write
8.428528291 , 154190.301288 , random_write
8.822418419 , 188182.833638 , random_write
9.209511106 , 158762.547597 , random_write
9.753232042 , 182225.831787 , random_write
10.134886218 , 150553.632987 , random_write
10.530036031 , 178178.024969 , random_write
10.907850747 , 141180.072698 , random_write
11.296560780 , 184362.382385 , random_write
11.682790666 , 185767.370431 , random_write
12.064053905 , 187292.637879 , random_write
12.447259022 , 187212.322282 , random_write
12.828765460 , 157284.898478 , random_write
13.205470041 , 154050.278843 , random_write
13.698845055 , 183474.791631 , random_write
14.079802191 , 172403.438969 , random_write
14.466310980 , 186200.597920 , random_write
14.851446196 , 187301.322632 , random_write
15.229743559 , 142788.856693 , random_write
15.625218114 , 153102.596719 , random_write
16.007223290 , 141940.030822 , random_write
16.437797508 , 171784.277765 , random_write
16.811500300 , 175708.707126 , random_write
17.192214513 , 176314.712870 , random_write
17.569118037 , 184860.718386 , random_write
17.945505601 , 145564.815119 , random_write
18.323265762 , 187653.941538 , random_write
18.821725974 , 183666.353515 , random_write
19.313101297 , 184339.521081 , random_write
19.686667535 , 158116.015257 , random_write
20.064914037 , 184123.907150 , random_write
20.572692786 , 184322.345699 , random_write
20.953017906 , 185779.092042 , random_write
21.331764805 , 143193.692615 , random_write
21.715856002 , 184271.668087 , random_write
22.098204595 , 144530.422114 , random_write
22.477400141 , 167669.551474 , random_write
22.857955594 , 177199.299071 , random_write
23.232407187 , 141363.297683 , random_write
23.610088491 , 144852.818054 , random_write
23.991336306 , 153659.559463 , random_write
24.412743125 , 72685.507860 , random_write
24.859369720 , 151133.712082 , random_write
25.239517975 , 157502.945208 , random_write
25.625582533 , 181136.752611 , random_write
26.111849095 , 149515.182312 , random_write
26.498092600 , 185824.566199 , random_write
27.016123499 , 185817.406613 , random_write
27.398173108 , 184437.396096 , random_write
27.775242590 , 148041.394881 , random_write
28.158191302 , 149068.218094 , random_write
28.544872834 , 158881.628473 , random_write
28.924915591 , 173778.870441 , random_write
29.297627418 , 152759.404329 , random_write
29.679411472 , 171629.466559 , random_write
30.056937721 , 178580.134587 , random_write
30.434389431 , 141843.792388 , random_write
30.827531661 , 185121.314520 , random_write
31.199449192 , 185410.761589 , random_write
31.572262069 , 146817.239130 , random_write
32.003617320 , 152519.193564 , random_write
32.383596870 , 185875.380103 , random_write
32.762498391 , 184163.783043 , random_write
33.137908678 , 153121.567386 , random_write
33.522728148 , 143354.446734 , random_write
33.897312892 , 181430.789306 , random_write
34.285441812 , 154784.882162 , random_write
34.667251924 , 183674.717390 , random_write
35.041315158 , 139244.242601 , random_write
35.430575713 , 135629.749400 , random_write
35.816128431 , 136652.253228 , random_write
36.198144084 , 135474.237155 , random_write
36.585641964 , 154146.239112 , random_write
37.036773342 , 186829.832281 , random_write
37.410089600 , 149261.636454 , random_write
37.795482365 , 184866.813767 , random_write
38.172543776 , 184582.912480 , random_write
38.551385264 , 147914.582518 , random_write
38.931317052 , 154283.906084 , random_write
39.308615465 , 142210.688172 , random_write
39.702468854 , 183083.260377 , random_write
40.081750829 , 147163.233645 , random_write
40.455997831 , 155599.871380 , random_write
40.837142137 , 130555.248557 , random_write
41.231663771 , 172041.260727 , random_write
41.603351745 , 136652.701709 , random_write
41.979949587 , 132401.828645 , random_write
42.411798423 , 142738.483720 , random_write
42.792564145 , 158844.520287 , random_write
43.171620164 , 145561.328962 , random_write
43.559237478 , 143988.200562 , random_write
43.943402833 , 187501.681269 , random_write
44.324513153 , 149611.768126 , random_write
44.711477654 , 184080.352170 , random_write
45.089530984 , 183457.291542 , random_write
45.474831106 , 147966.524529 , random_write
45.860550413 , 184639.550170 , random_write
46.245477529 , 143205.102335 , random_write
46.631115545 , 156870.184356 , random_write
47.013384572 , 146611.429932 , random_write
47.393401150 , 176337.190380 , random_write
47.766198247 , 141006.183631 , random_write
48.150858569 , 169554.545866 , random_write
48.615942882 , 170407.802228 , random_write
48.990641895 , 185042.292707 , random_write
49.368296723 , 150612.237657 , random_write
49.748083914 , 182771.706328 , random_write
50.128170877 , 185900.207476 , random_write
50.507822561 , 145665.208259 , random_write
50.896664513 , 184097.499447 , random_write
51.283006682 , 184703.104647 , random_write
51.662716926 , 185283.472520 , random_write
52.167363570 , 185326.970214 , random_write
52.671177304 , 150312.767238 , random_write
53.058868975 , 150698.825987 , random_write
53.445919098 , 183595.751018 , random_write
53.824366228 , 134324.069007 , random_write
54.244225229 , 177182.939405 , random_write
54.615341036 , 145087.287888 , random_write
55.043758066 , 176914.561347 , random_write
55.550075124 , 186566.248461 , random_write
56.046634541 , 186937.280324 , random_write
56.429996277 , 188660.405776 , random_write
56.807397945 , 142765.617466 , random_write
57.190241477 , 181400.353307 , random_write
57.581604715 , 150113.795459 , random_write
57.969200976 , 187710.094965 , random_write
58.348116625 , 184286.074356 , random_write
58.731047069 , 184469.280555 , random_write
